"doi";"color_green_only";"color";"issn";"journal";"publisher";"publication_date_unpaywall"
"10.1037/prj0000244";"green";"green";"1559-3126,1095-158X";"Psychiatric Rehabilitation Journal";"American Psychological Association (APA)";"2017-03-01"
"10.1002/acr.23230";"bronze";"bronze";"2151-464X";"Arthritis Care &amp; Research";"Wiley";"2017-12-06"
"10.1016/j.janxdis.2017.03.007";"green";"green";"0887-6185";"Journal of Anxiety Disorders";"Elsevier BV";"2017-06-01"
"10.1200/jco.2016.68.9497";"green";"green";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2017-06-01"
"10.1093/pm/pnw306";"bronze";"green";"1526-2375,1526-4637";"Pain Medicine";"Oxford University Press (OUP)";"2017-04-15"
"10.1016/s1470-2045(17)30246-2";"green";"green";"1470-2045";"The Lancet Oncology";"Elsevier BV";"2017-06-01"
"10.1089/acm.2016.0297";"green";"green";"1075-5535,1557-7708";"The Journal of Alternative and Complementary Medicine";"Mary Ann Liebert Inc";"2017-05-01"
"10.1001/jamaneurol.2017.0285";"bronze";"green";"2168-6149";"JAMA Neurology";"American Medical Association (AMA)";"2017-06-01"
"10.1002/ijc.30747";"bronze";"green";"0020-7136";"International Journal of Cancer";"Wiley";"2017-05-15"
"10.1002/cncr.30568";"bronze";"bronze";"0008-543X";"Cancer";"Wiley";"2017-04-25"
"10.1055/s-0043-107033";"green";"green";"0176-3679,1439-0795";"Pharmacopsychiatry";"Georg Thieme Verlag KG";"2017-04-25"
"10.1186/s12916-017-0858-9";"gold";"gold";"1741-7015";"BMC Medicine";"Springer Science and Business Media LLC";"2017-05-04"
"10.1371/journal.pone.0176009";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2017-05-10"
"10.1186/s12884-017-1319-3";"gold";"gold";"1471-2393";"BMC Pregnancy and Childbirth";"Springer Science and Business Media LLC";"2017-05-12"
"10.3109/16066359.2016.1173682";"green";"green";"1606-6359,1476-7392";"Addiction Research &amp; Theory";"Informa UK Limited";"2016-05-25"
"10.1001/jamadermatol.2017.0849";"bronze";"green";"2168-6068";"JAMA Dermatology";"American Medical Association (AMA)";"2017-07-01"
"10.2967/jnumed.117.192476";"bronze";"bronze";"0161-5505,2159-662X";"Journal of Nuclear Medicine";"Society of Nuclear Medicine";"2017-05-18"
"10.1186/s12903-017-0374-5";"gold";"gold";"1472-6831";"BMC Oral Health";"Springer Science and Business Media LLC";"2017-05-19"
"10.1038/s41598-017-02200-6";"gold";"gold";"2045-2322";"Scientific Reports";"Springer Science and Business Media LLC";"2017-05-19"
"10.1037/hea0000503";"bronze";"green";"1930-7810,0278-6133";"Health Psychology";"American Psychological Association (APA)";"2017-09-01"
"10.1080/19490976.2017.1334034";"gold";"gold";"1949-0976,1949-0984";"Gut Microbes";"Informa UK Limited";"2017-05-25"
"10.1093/ntr/ntx113";"hybrid";"hybrid";"1462-2203,1469-994X";"Nicotine &amp; Tobacco Research";"Oxford University Press (OUP)";"2017-05-26"
"10.1177/0009922817709796";"green";"green";"0009-9228,1938-2707";"Clinical Pediatrics";"SAGE Publications";"2017-05-29"
"10.1001/jamapediatrics.2017.0651";"bronze";"green";"2168-6203";"JAMA Pediatrics";"American Medical Association (AMA)";"2017-07-01"
"10.1186/s12887-017-0886-9";"gold";"gold";"1471-2431";"BMC Pediatrics";"Springer Science and Business Media LLC";"2017-05-30"
"10.1158/0008-5472.can-16-2953";"bronze";"green";"0008-5472,1538-7445";"Cancer Research";"American Association for Cancer Research (AACR)";"2017-05-31"
"10.1053/j.gastro.2017.05.043";"bronze";"green";"0016-5085";"Gastroenterology";"Elsevier BV";"2017-09-01"
"10.1016/j.ijrobp.2017.01.242";"green";"green";"0360-3016";"International Journal of Radiation Oncology*Biology*Physics";"Elsevier BV";"2017-05-01"
"10.1001/jama.2017.6322";"bronze";"green";"0098-7484";"JAMA";"American Medical Association (AMA)";"2017-06-13"
"10.1016/j.ajog.2017.06.005";"green";"green";"0002-9378";"American Journal of Obstetrics and Gynecology";"Elsevier BV";"2017-11-01"
"10.1080/08897077.2017.1342736";"closed";"closed";"0889-7077,1547-0164";"Substance Abuse";"SAGE Publications";"2017-10-01"
"10.1001/jama.2017.7105";"bronze";"green";"0098-7484";"JAMA";"American Medical Association (AMA)";"2017-06-20"
"10.1016/j.clgc.2017.05.026";"bronze";"bronze";"1558-7673";"Clinical Genitourinary Cancer";"Elsevier BV";"2017-12-01"
"10.4088/jcp.16m10947";"closed";"closed";"0160-6689";"The Journal of Clinical Psychiatry";"Physicians Postgraduate Press, Inc";"2017-08-23"
"10.1007/s00198-017-4109-x";"green";"green";"0937-941X,1433-2965";"Osteoporosis International";"Springer Science and Business Media LLC";"2017-07-08"
"10.1002/acn3.424";"gold";"gold";"2328-9503";"Annals of Clinical and Translational Neurology";"Wiley";"2017-05-26"
"10.1097/sla.0000000000002408";"green";"green";"0003-4932";"Annals of Surgery";"Ovid Technologies (Wolters Kluwer Health)";"2017-10-01"
"10.1007/s13311-017-0555-6";"bronze";"green";"1933-7213,1878-7479";"Neurotherapeutics";"Springer Science and Business Media LLC";"2017-07-13"
"10.12688/f1000research.11359.1";"gold";"gold";"2046-1402";"F1000Research";"F1000 Research Ltd";"2017-05-03"
"10.1097/aln.0000000000001804";"green";"green";"0003-3022";"Anesthesiology";"Ovid Technologies (Wolters Kluwer Health)";"2017-10-01"
"10.1016/j.ctarc.2016.12.002";"green";"green";"2468-2942";"Cancer Treatment and Research Communications";"Elsevier BV";"2017-01-01"
"10.1007/s10995-017-2342-8";"hybrid";"hybrid";"1092-7875,1573-6628";"Maternal and Child Health Journal";"Springer Science and Business Media LLC";"2017-07-28"
"10.1002/cncr.30909";"bronze";"green";"0008-543X";"Cancer";"Wiley";"2017-07-31"
"10.1136/bmjdrc-2017-000420";"gold";"gold";"2052-4897";"BMJ Open Diabetes Research &amp; Care";"BMJ";"2017-07-01"
"10.2196/ijmr.7860";"gold";"gold";"1929-073X";"Interactive Journal of Medical Research";"JMIR Publications Inc.";"2017-08-02"
"10.2147/jpr.s131859";"gold";"gold";"1178-7090";"Journal of Pain Research";"Informa UK Limited";"2017-07-01"
"10.1016/j.jamcollsurg.2017.07.1063";"green";"green";"1072-7515";"Journal of the American College of Surgeons";"Ovid Technologies (Wolters Kluwer Health)";"2017-11-01"
"10.1177/1359105317709514";"closed";"closed";"1359-1053,1461-7277";"Journal of Health Psychology";"SAGE Publications";"2017-06-02"
"10.1177/1043659617719139";"closed";"closed";"1043-6596,1552-7832";"Journal of Transcultural Nursing";"SAGE Publications";"2017-07-08"
"10.1001/jamaoto.2017.1414";"green";"green";"2168-6181";"JAMA Otolaryngology–Head &amp; Neck Surgery";"American Medical Association (AMA)";"2017-12-01"
"10.1016/j.drugalcdep.2017.04.022";"green";"green";"0376-8716";"Drug and Alcohol Dependence";"Elsevier BV";"2017-10-01"
"10.1016/s2352-3018(17)30131-5";"bronze";"green";"2352-3018";"The Lancet HIV";"Elsevier BV";"2017-12-01"
"10.1007/s10865-017-9884-5";"green";"green";"0160-7715,1573-3521";"Journal of Behavioral Medicine";"Springer Science and Business Media LLC";"2017-09-16"
"10.1111/pcmr.12644";"bronze";"green";"1755-1471";"Pigment Cell &amp; Melanoma Research";"Wiley";"2017-11-02"
"10.1016/j.transproceed.2017.06.030";"closed";"closed";"0041-1345";"Transplantation Proceedings";"Elsevier BV";"2017-10-01"
"10.20411/pai.v2i3.207";"gold";"gold";"2469-2964";"Pathogens and Immunity";"Case Western Reserve University";"2017-08-02"
"10.1002/ajmg.a.38457";"green";"green";"1552-4825,1552-4833";"American Journal of Medical Genetics Part A";"Wiley";"2017-09-25"
"10.1016/s2352-3018(17)30156-x";"green";"green";"2352-3018";"The Lancet HIV";"Elsevier BV";"2018-02-01"
"10.1016/s0140-6736(17)32346-2";"bronze";"green";"0140-6736";"The Lancet";"Elsevier BV";"2017-12-01"
"10.1371/journal.pone.0186589";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2017-10-24"
"10.1038/jp.2017.161";"green";"green";"0743-8346,1476-5543";"Journal of Perinatology";"Springer Science and Business Media LLC";"2017-10-26"
"10.1111/liv.13616";"green";"green";"1478-3223";"Liver International";"Wiley";"2017-12-05"
"10.1097/nnr.0000000000000249";"green";"green";"0029-6562";"Nursing Research";"Ovid Technologies (Wolters Kluwer Health)";"2017-11-01"
"10.1016/j.trci.2017.08.002";"gold";"gold";"2352-8737";"Alzheimer's &amp; Dementia: Translational Research &amp; Clinical Interventions";"Wiley";"2017-08-30"
"10.1016/j.bbmt.2017.10.039";"hybrid";"hybrid";"1083-8791";"Biology of Blood and Marrow Transplantation";"Elsevier BV";"2018-02-01"
"10.1016/j.jaac.2017.10.008";"green";"green";"0890-8567";"Journal of the American Academy of Child &amp; Adolescent Psychiatry";"Elsevier BV";"2017-12-01"
"10.1016/j.jpeds.2017.09.068";"closed";"closed";"0022-3476";"The Journal of Pediatrics";"Elsevier BV";"2018-02-01"
"10.14283/jpad.2017.36";NA;NA;NA;NA;NA;NA
"10.1016/j.jacc.2017.09.1105";"bronze";"bronze";"0735-1097";"Journal of the American College of Cardiology";"Elsevier BV";"2017-12-01"
"10.1002/ijgo.12415";"green";"green";"0020-7292";"International Journal of Gynecology &amp; Obstetrics";"Wiley";"2018-01-03"
"10.1186/s12891-017-1862-0";"gold";"gold";"1471-2474";"BMC Musculoskeletal Disorders";"Springer Science and Business Media LLC";"2017-12-01"
"10.1186/s12937-017-0304-z";"gold";"gold";"1475-2891";"Nutrition Journal";"Springer Science and Business Media LLC";"2017-12-01"
"10.1080/15284336.2017.1401256";"green";"green";"1528-4336,1945-5771";"HIV Clinical Trials";"Informa UK Limited";"2017-11-02"
"10.1016/j.jagp.2017.10.010";"hybrid";"hybrid";"1064-7481";"The American Journal of Geriatric Psychiatry";"Elsevier BV";"2018-03-01"
"10.1210/js.2017-00013";"gold";"gold";"2472-1972";"Journal of the Endocrine Society";"The Endocrine Society";"2017-04-12"
"10.1111/acer.13586";"green";"green";"0145-6008";"Alcoholism: Clinical and Experimental Research";"Wiley";"2018-02-01"
"10.1093/infdis/jix660";"bronze";"green";"0022-1899,1537-6613";"The Journal of Infectious Diseases";"Oxford University Press (OUP)";"2017-12-19"
"10.1177/1526602817749242";"bronze";"bronze";"1526-6028,1545-1550";"Journal of Endovascular Therapy";"SAGE Publications";"2017-12-29"
"10.1007/s00784-017-2314-9";"closed";"closed";"1432-6981,1436-3771";"Clinical Oral Investigations";"Springer Science and Business Media LLC";"2018-01-04"
"10.1093/infdis/jiy014";"hybrid";"hybrid";"0022-1899,1537-6613";"The Journal of Infectious Diseases";"Oxford University Press (OUP)";"2018-01-12"
"10.2105/ajph.2017.304250";"green";"green";"0090-0036,1541-0048";"American Journal of Public Health";"American Public Health Association";"2018-03-01"
"10.1177/0022034517737022";"bronze";"green";"0895-9374,1544-0737";"Advances in Dental Research";"SAGE Publications";"2018-01-22"
"10.1016/s2214-109x(18)30005-6";"gold";"gold";"2214-109X";"The Lancet Global Health";"Elsevier BV";"2018-03-01"
"10.1016/s1473-3099(18)30044-6";"hybrid";"hybrid";"1473-3099";"The Lancet Infectious Diseases";"Elsevier BV";"2018-06-01"
"10.1002/lsm.22803";"closed";"closed";"0196-8092";"Lasers in Surgery and Medicine";"Wiley";"2018-02-13"
"10.1186/s12889-018-5138-x";"gold";"gold";"1471-2458";"BMC Public Health";"Springer Science and Business Media LLC";"2018-02-14"
"10.1212/wnl.0000000000005109";"closed";"closed";"0028-3878,1526-632X";"Neurology";"Ovid Technologies (Wolters Kluwer Health)";"2018-02-14"
"10.1371/journal.pone.0192921";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2018-02-15"
"10.1093/cid/ciy156";"bronze";"green";"1058-4838,1537-6591";"Clinical Infectious Diseases";"Oxford University Press (OUP)";"2018-02-21"
"10.1080/13854046.2018.1436725";"green";"green";"1385-4046,1744-4144";"The Clinical Neuropsychologist";"Informa UK Limited";"2018-02-25"
"10.3233/jad-170846";"green";"green";"1387-2877,1875-8908";"Journal of Alzheimer's Disease";"IOS Press";"2018-02-20"
"10.2196/mental.8551";"gold";"gold";"2368-7959";"JMIR Mental Health";"JMIR Publications Inc.";"2018-02-27"
"10.1634/theoncologist.2017-0624";"bronze";"green";"1083-7159,1549-490X";"The Oncologist";"Oxford University Press (OUP)";"2018-02-27"
"10.1136/bmjqs-2017-007393";"closed";"closed";"2044-5415,2044-5423";"BMJ Quality &amp; Safety";"BMJ";"2018-03-05"
"10.1002/mus.26117";"green";"green";"0148-639X";"Muscle &amp; Nerve";"Wiley";"2018-04-06"
"10.1007/s00280-018-3553-4";"green";"green";"0344-5704,1432-0843";"Cancer Chemotherapy and Pharmacology";"Springer Science and Business Media LLC";"2018-03-08"
"10.1001/jamainternmed.2018.0150";"bronze";"green";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2018-04-01"
"10.1097/dbp.0000000000000552";"green";"green";"0196-206X";"Journal of Developmental &amp; Behavioral Pediatrics";"Ovid Technologies (Wolters Kluwer Health)";"2018-04-01"
"10.1001/jamaoncol.2018.0039";"bronze";"green";"2374-2437";"JAMA Oncology";"American Medical Association (AMA)";"2018-06-14"
"10.1016/j.jpeds.2017.12.073";"closed";"closed";"0022-3476";"The Journal of Pediatrics";"Elsevier BV";"2018-05-01"
"10.1001/jamainternmed.2018.0116";"bronze";"green";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2018-05-01"
"10.1016/j.clml.2018.02.017";"closed";"closed";"2152-2650";"Clinical Lymphoma Myeloma and Leukemia";"Elsevier BV";"2018-05-01"
"10.1111/epi.14045";"bronze";"bronze";"0013-9580";"Epilepsia";"Wiley";"2018-03-30"
"10.1186/s12966-018-0658-4";"gold";"gold";"1479-5868";"International Journal of Behavioral Nutrition and Physical Activity";"Springer Science and Business Media LLC";"2018-04-02"
"10.1161/strokeaha.117.020125";"bronze";"bronze";"0039-2499,1524-4628";"Stroke";"Ovid Technologies (Wolters Kluwer Health)";"2018-05-01"
"10.1016/j.abb.2018.04.003";"closed";"closed";"0003-9861";"Archives of Biochemistry and Biophysics";"Elsevier BV";"2018-05-01"
"10.1089/neu.2017.5461";"bronze";"green";"0897-7151,1557-9042";"Journal of Neurotrauma";"Mary Ann Liebert Inc";"2018-09-15"
"10.1016/s2213-2600(18)30136-x";"closed";"closed";"2213-2600";"The Lancet Respiratory Medicine";"Elsevier BV";"2018-05-01"
"10.1002/jper.17-0466";"green";"green";"0022-3492";"Journal of Periodontology";"Wiley";"2018-04-01"
"10.1016/j.juro.2018.04.062";"closed";"closed";"0022-5347,1527-3792";"Journal of Urology";"Ovid Technologies (Wolters Kluwer Health)";"2018-10-01"
"10.1111/all.13466";"hybrid";"hybrid";"0105-4538";"Allergy";"Wiley";"2018-06-17"
"10.1016/j.ijrobp.2018.01.001";"green";"green";"0360-3016";"International Journal of Radiation Oncology*Biology*Physics";"Elsevier BV";"2018-04-01"
"10.1007/s10461-018-2132-3";"green";"green";"1090-7165,1573-3254";"AIDS and Behavior";"Springer Science and Business Media LLC";"2018-05-03"
"10.1371/journal.pone.0197023";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2018-05-07"
"10.1111/ctr.13274";"green";"green";"0902-0063";"Clinical Transplantation";"Wiley";"2018-06-01"
"10.1093/neuonc/noy075";"bronze";"green";"1522-8517,1523-5866";"Neuro-Oncology";"Oxford University Press (OUP)";"2018-05-12"
"10.1186/s13229-018-0218-4";"gold";"gold";"2040-2392";"Molecular Autism";"Springer Science and Business Media LLC";"2018-05-30"
"10.1186/s12884-018-1757-6";"gold";"gold";"1471-2393";"BMC Pregnancy and Childbirth";"Springer Science and Business Media LLC";"2018-06-01"
"10.1016/j.drugalcdep.2018.04.023";"green";"green";"0376-8716";"Drug and Alcohol Dependence";"Elsevier BV";"2018-08-01"
"10.2196/10494";"gold";"gold";"1929-0748";"JMIR Research Protocols";"JMIR Publications Inc.";"2018-06-05"
"10.1056/nejmoa1715726";"green";"green";"0028-4793,1533-4406";"New England Journal of Medicine";"Massachusetts Medical Society";"2018-06-07"
"10.1016/j.jtho.2018.03.035";"bronze";"green";"1556-0864";"Journal of Thoracic Oncology";"Elsevier BV";"2018-08-01"
"10.1016/j.ijrobp.2018.03.011";"closed";"closed";"0360-3016";"International Journal of Radiation Oncology*Biology*Physics";"Elsevier BV";"2018-07-01"
"10.1056/nejmoa1716816";"bronze";"green";"0028-4793,1533-4406";"New England Journal of Medicine";"Massachusetts Medical Society";"2018-06-14"
"10.1016/j.jff.2017.06.046";"bronze";"green";"1756-4646";"Journal of Functional Foods";"Elsevier BV";"2017-09-01"
"10.1089/ham.2017.0144";"closed";"closed";"1557-8682";"High Altitude Medicine &amp; Biology";"Mary Ann Liebert Inc";"2018-09-01"
"10.1001/jamapsychiatry.2018.1109";"bronze";"green";"2168-622X";"JAMA Psychiatry";"American Medical Association (AMA)";"2018-08-01"
"10.1038/s41598-018-28333-w";"gold";"gold";"2045-2322";"Scientific Reports";"Springer Science and Business Media LLC";"2018-06-29"
"10.2196/jmir.9821";"gold";"gold";"1438-8871";"Journal of Medical Internet Research";"JMIR Publications Inc.";"2018-07-03"
"10.1182/bloodadvances.2017014845";"bronze";"green";"2473-9529,2473-9537";"Blood Advances";"American Society of Hematology";"2018-07-09"
"10.1542/peds.2017-4278";"bronze";"green";"0031-4005,1098-4275";"Pediatrics";"American Academy of Pediatrics (AAP)";"2018-08-01"
"10.2105/ajph.2018.304528";"green";"green";"0090-0036,1541-0048";"American Journal of Public Health";"American Public Health Association";"2018-09-01"
"10.1371/journal.pone.0199423";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2018-07-23"
"10.1097/txd.0000000000000810";"gold";"gold";"2373-8731";"Transplantation Direct";"Ovid Technologies (Wolters Kluwer Health)";"2018-07-01"
"10.1192/bjo.2018.30";"gold";"gold";"2056-4724";"BJPsych Open";"Royal College of Psychiatrists";"2018-07-01"
"10.1097/aog.0000000000002790";"green";"green";"0029-7844";"Obstetrics &amp; Gynecology";"Ovid Technologies (Wolters Kluwer Health)";"2018-09-01"
"10.1016/s2213-2600(18)30301-1";"closed";"closed";"2213-2600";"The Lancet Respiratory Medicine";"Elsevier BV";"2018-09-01"
"10.1513/annalsats.201806-365oc";"green";"green";"2329-6933,2325-6621";"Annals of the American Thoracic Society";"American Thoracic Society";"2018-10-01"
"10.1016/j.jaad.2018.08.017";"hybrid";"hybrid";"0190-9622";"Journal of the American Academy of Dermatology";"Elsevier BV";"2019-02-01"
"10.1016/j.jvir.2018.05.009";"hybrid";"hybrid";"1051-0443";"Journal of Vascular and Interventional Radiology";"Elsevier BV";"2018-10-01"
"10.1001/jamainternmed.2018.3981";"bronze";"green";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2018-10-01"
"10.1371/journal.pone.0201954";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2018-09-11"
"10.1093/cid/ciy781";"green";"green";"1058-4838,1537-6591";"Clinical Infectious Diseases";"Oxford University Press (OUP)";"2018-09-14"
"10.1093/cid/ciy810";"hybrid";"hybrid";"1058-4838,1537-6591";"Clinical Infectious Diseases";"Oxford University Press (OUP)";"2018-09-15"
"10.1002/cpt.1238";"green";"green";"0009-9236,1532-6535";"Clinical Pharmacology &amp; Therapeutics";"Wiley";"2018-10-25"
"10.1016/j.schres.2018.09.022";"green";"green";"0920-9964";"Schizophrenia Research";"Elsevier BV";"2019-02-01"
"10.1002/art.40737";"green";"green";"2326-5191,2326-5205";"Arthritis &amp; Rheumatology";"Wiley";"2019-01-24"
"10.7717/peerj.5609";"gold";"gold";"2167-8359";"PeerJ";"PeerJ";"2018-09-28"
"10.1093/schbul/sby135";"bronze";"green";"0586-7614,1745-1701";"Schizophrenia Bulletin";"Oxford University Press (OUP)";"2018-10-03"
"10.1016/j.conctc.2018.09.004";"gold";"gold";"2451-8654";"Contemporary Clinical Trials Communications";"Elsevier BV";"2018-12-01"
"10.1016/j.clgc.2018.09.013";"closed";"closed";"1558-7673";"Clinical Genitourinary Cancer";"Elsevier BV";"2019-02-01"
"10.1111/andr.12554";"hybrid";"hybrid";"2047-2919,2047-2927";"Andrology";"Wiley";"2018-10-21"
"10.1021/acs.chemrestox.8b00170";"green";"green";"0893-228X,1520-5010";"Chemical Research in Toxicology";"American Chemical Society (ACS)";"2018-11-01"
"10.1001/jamainternmed.2018.4657";"hybrid";"hybrid";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2018-12-01"
"10.1089/apc.2018.0128";"green";"green";"1087-2914,1557-7449";"AIDS Patient Care and STDs";"Mary Ann Liebert Inc";"2018-11-01"
"10.1371/journal.pmed.1002690";"gold";"gold";"1549-1676";"PLOS Medicine";"Public Library of Science (PLoS)";"2018-11-08"
"10.1093/geronb/gby132";"green";"green";"1079-5014,1758-5368";"The Journals of Gerontology: Series B";"Oxford University Press (OUP)";"2018-11-09"
"10.3122/jabfm.2018.06.180018";"bronze";"bronze";"1557-2625,1558-7118";"The Journal of the American Board of Family Medicine";"American Board of Family Medicine (ABFM)";"2018-11-01"
"10.1097/qai.0000000000001888";"bronze";"green";"1525-4135";"JAIDS Journal of Acquired Immune Deficiency Syndromes";"Ovid Technologies (Wolters Kluwer Health)";"2019-02-01"
"10.1097/pec.0000000000001626";"closed";"closed";"0749-5161";"Pediatric Emergency Care";"Ovid Technologies (Wolters Kluwer Health)";"2018-11-12"
"10.1016/j.amepre.2018.07.015";"hybrid";"hybrid";"0749-3797";"American Journal of Preventive Medicine";"Elsevier BV";"2018-12-01"
"10.1016/s2213-2600(18)30418-1";"green";"green";"2213-2600";"The Lancet Respiratory Medicine";"Elsevier BV";"2019-02-01"
"10.1016/j.schres.2018.11.002";"closed";"closed";"0920-9964";"Schizophrenia Research";"Elsevier BV";"2019-04-01"
"10.1007/s11121-018-0965-7";"green";"green";"1389-4986,1573-6695";"Prevention Science";"Springer Science and Business Media LLC";"2018-11-26"
"10.1007/s40262-018-0726-6";"bronze";"green";"0312-5963,1179-1926";"Clinical Pharmacokinetics";"Springer Science and Business Media LLC";"2018-12-04"
"10.1016/j.joim.2018.11.004";"closed";"closed";"2095-4964";"Journal of Integrative Medicine";"Elsevier BV";"2019-01-01"
"10.1016/j.jcrs.2018.08.039";"closed";"closed";"0886-3350";"Journal of Cataract and Refractive Surgery";"Ovid Technologies (Wolters Kluwer Health)";"2019-02-01"
"10.1001/jamainternmed.2018.5859";"bronze";"green";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2019-01-01"
"10.1111/andr.12577";"bronze";"green";"2047-2919,2047-2927";"Andrology";"Wiley";"2018-12-16"
"10.1182/bloodadvances.2018022095";"green";"green";"2473-9529,2473-9537";"Blood Advances";"American Society of Hematology";"2018-12-20"
"10.1016/j.jpeds.2018.11.022";"hybrid";"hybrid";"0022-3476";"The Journal of Pediatrics";"Elsevier BV";"2019-04-01"
"10.1016/j.ajog.2018.10.031";"bronze";"green";"0002-9378";"American Journal of Obstetrics and Gynecology";"Elsevier BV";"2019-01-01"
"10.1093/cid/ciy1141";"green";"green";"1058-4838,1537-6591";"Clinical Infectious Diseases";"Oxford University Press (OUP)";"2019-01-07"
"10.1371/journal.pone.0210064";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2019-01-09"
"10.1016/j.eururo.2018.12.040";"closed";"closed";"0302-2838";"European Urology";"Elsevier BV";"2019-06-01"
"10.1186/s12884-019-2172-3";"gold";"gold";"1471-2393";"BMC Pregnancy and Childbirth";"Springer Science and Business Media LLC";"2019-01-16"
"10.1016/j.pvr.2019.01.002";"gold";"gold";"2405-8521";"Papillomavirus Research";"Elsevier BV";"2019-06-01"
"10.1001/jama.2018.20579";"bronze";"green";"0098-7484";"JAMA";"American Medical Association (AMA)";"2019-01-22"
"10.1016/j.jaip.2019.01.022";"bronze";"green";"2213-2198";"The Journal of Allergy and Clinical Immunology: In Practice";"Elsevier BV";"2019-05-01"
"10.2196/11138";"gold";"gold";"2561-326X";"JMIR Formative Research";"JMIR Publications Inc.";"2018-09-04"
"10.1177/0009922819826105";"green";"green";"0009-9228,1938-2707";"Clinical Pediatrics";"SAGE Publications";"2019-01-28"
"10.1007/s10461-019-02412-z";"closed";"closed";"1090-7165,1573-3254";"AIDS and Behavior";"Springer Science and Business Media LLC";"2019-01-30"
"10.2196/12528";"gold";"gold";"2561-326X";"JMIR Formative Research";"JMIR Publications Inc.";"2019-02-06"
"10.1097/adm.0000000000000509";"green";"green";"1932-0620,1935-3227";"Journal of Addiction Medicine";"Ovid Technologies (Wolters Kluwer Health)";"2019-09-01"
"10.1212/wnl.0000000000007041";"green";"green";"0028-3878,1526-632X";"Neurology";"Ovid Technologies (Wolters Kluwer Health)";"2019-02-06"
"10.1016/j.ajog.2019.02.015";"bronze";"bronze";"0002-9378";"American Journal of Obstetrics and Gynecology";"Elsevier BV";"2019-06-01"
"10.1542/peds.2018-2738";"bronze";"bronze";"0031-4005,1098-4275";"Pediatrics";"American Academy of Pediatrics (AAP)";"2019-03-01"
"10.1016/j.jss.2019.01.038";"green";"green";"0022-4804";"Journal of Surgical Research";"Elsevier BV";"2019-06-01"
"10.1016/j.jaad.2019.02.037";"closed";"closed";"0190-9622";"Journal of the American Academy of Dermatology";"Elsevier BV";"2019-07-01"
"10.1097/cnd.0000000000000239";"hybrid";"hybrid";"1522-0443";"Journal of Clinical Neuromuscular Disease";"Ovid Technologies (Wolters Kluwer Health)";"2019-03-01"
"10.1371/journal.pone.0212119";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2019-02-25"
"10.1097/dss.0000000000001771";"closed";"closed";"1076-0512,1524-4725";"Dermatologic Surgery";"Ovid Technologies (Wolters Kluwer Health)";"2019-04-01"
"10.1161/jaha.118.011088";"gold";"gold";"2047-9980";"Journal of the American Heart Association";"Ovid Technologies (Wolters Kluwer Health)";"2019-03-19"
"10.1371/journal.pone.0212656";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2019-03-06"
"10.3122/jabfm.2019.02.180263";"gold";"gold";"1557-2625,1558-7118";"The Journal of the American Board of Family Medicine";"American Board of Family Medicine (ABFM)";"2019-03-01"
"10.1186/s12885-019-5427-5";"gold";"gold";"1471-2407";"BMC Cancer";"Springer Science and Business Media LLC";"2019-03-11"
"10.1002/ppul.24267";"closed";"closed";"8755-6863,1099-0496";"Pediatric Pulmonology";"Wiley";"2019-03-18"
"10.1093/ntr/ntz047";"green";"green";"1469-994X";"Nicotine &amp; Tobacco Research";"Oxford University Press (OUP)";"2019-03-20"
"10.1001/jamainternmed.2018.8358";"bronze";"green";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2019-05-01"
"10.1212/wnl.0000000000007316";"hybrid";"hybrid";"0028-3878,1526-632X";"Neurology";"Ovid Technologies (Wolters Kluwer Health)";"2019-03-27"
"10.1210/js.2018-00339";"gold";"gold";"2472-1972";"Journal of the Endocrine Society";"The Endocrine Society";"2019-02-07"
"10.1186/s12944-019-1025-4";"gold";"gold";"1476-511X";"Lipids in Health and Disease";"Springer Science and Business Media LLC";"2019-04-03"
"10.1097/qai.0000000000002051";"bronze";"green";"1525-4135";"JAIDS Journal of Acquired Immune Deficiency Syndromes";"Ovid Technologies (Wolters Kluwer Health)";"2019-08-01"
"10.1016/j.ahj.2019.02.014";"closed";"closed";"0002-8703";"American Heart Journal";"Elsevier BV";"2019-06-01"
